,titles,subtitles,links
96,FREE LIONS,"England vs Iran: The 10 best free bets, bonuses and sign-up offers for World Cup",https://www.thesun.co.uk/sport/20455391/england-iran-bonuses-sign-up-offers-world-cup-free/
97,REAL RON,Ronaldo 'offers himself to Real Madrid' for transfer after slamming Man Utd,https://www.thesun.co.uk/sport/20488446/cristiano-ronaldo-offers-himself-real-madrid-transfer-man-utd/
98,JERRY CHASE,Rangers lead hunt for Yates but struggling Blackpool demand £5m for top scorer,https://www.thesun.co.uk/sport/20489789/jerry-yates-blackpool-rangers-transfer-hunt/
99,SWEET TOOTH,Bournemouth boss O'Neil wants ex Gerrard assistant Critchley in permanent role,https://www.thesun.co.uk/sport/20490081/bournemouth-oneil-gerrard-assistant-critchley-premier-league/
100,WHAT THE HEC,Barcelona 'to sell Bellerin after SIX MONTHS with ex-Arsenal ace set for move',https://www.thesun.co.uk/sport/20489681/barcelona-sell-hector-bellerin-arsenal-transfer/
101,DARING EAGLES,Crystal Palace boss Vieira to find out transfer chest as owners hold meeting,https://www.thesun.co.uk/sport/20489825/patrick-vieira-crystal-palace-transfer-budget-us-owner-meeting/
102,GUNNERS LIVE,"Saliba keen on PSG switch, Depay linked with January move",https://www.thesun.co.uk/sport/20437899/arsenal-news-live-william-saliba-psg-transfer-memphis-depay-barcelona/
103,UNITED LIVE,Ronaldo 'offered' to Real Madrid as Martial in training ground bust-up - latest,https://www.thesun.co.uk/sport/20358231/man-utd-live-cristiano-ronaldo-real-madrid-transfer-anthony-martial/
104,RON THE MOVE,Ronaldo's agent Mendes wins award as Portugal ace tries to force Man Utd exit,https://www.thesun.co.uk/sport/20470898/cristiano-ronaldo-agent-jorge-mendes-award-man-utd-exit/
105,DAVE KIDD,England captain Kane IS STILL under-appreciated... we must cherish our goal king,https://www.thesun.co.uk/sport/20477304/kane-england-world-cup-2022-kidd-colum/
106,KARREN BRADY,Qatar is too hot and too restricted for a World Cup... Fifa has sunk so low,https://www.thesun.co.uk/sport/20402526/qatar-world-cup-2022-karren-brady/
107,TROY DEENEY,England squad capable of winning World Cup... but lack of Plan B is a concern,https://www.thesun.co.uk/sport/20390123/england-world-cup-squad-troy-deeney-gareth-southgate/
108,DILS ON WHEELS,Bikini-clad Diletta stuns on bike as she takes World Cup break with Karius,https://www.thesun.co.uk/sport/20452168/diletta-leotta-cycling-karius-world-cup-newcastle/
109,DEL'S BELLE,Alli shares gushing Insta message as girlfriend Cindy celebrates birthday,https://www.thesun.co.uk/sport/20449884/dele-alli-cindy-kimberly-message/
110,WANDA-FUL,Wanda Nara bursts out of swimsuit as Icardi's ex stuns in beach photoshoot,https://www.thesun.co.uk/sport/20397419/wanda-nara-bikini-range-mauro-icardi/
